row_id,timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time
0,0,115,5692,False,1,1,
1,56943,115,5716,False,2,1,37000.0
2,118363,115,128,False,0,1,55000.0
3,131167,115,7860,False,3,1,19000.0
4,137965,115,7922,False,4,1,11000.0
5,157063,115,156,False,5,1,5000.0
6,176092,115,51,False,6,1,17000.0
7,194190,115,50,False,7,1,17000.0
8,212463,115,7896,False,8,1,16000.0
9,230983,115,7863,False,9,1,16000.0
10,255381,115,152,False,10,0,17000.0
11,280033,115,104,False,11,0,22000.0
12,302994,115,108,False,12,0,23000.0
13,328686,115,7900,False,13,1,21000.0
14,352686,115,7901,False,14,1,24000.0
15,376162,115,7971,False,15,1,22000.0
16,398020,115,25,False,16,1,21000.0
17,418008,115,183,False,17,0,20000.0
18,437272,115,7926,False,18,1,18000.0
19,468511,115,7927,False,19,1,17000.0
20,490100,115,4,False,20,0,29000.0
21,510583,115,7984,False,21,0,20000.0
22,534187,115,45,False,22,0,19000.0
23,557677,115,185,False,23,0,21000.0
24,575289,115,55,False,24,1,22000.0
25,597863,115,7876,False,25,1,16000.0
26,621464,115,6,False,26,1,20000.0
27,645415,115,172,False,27,1,22000.0
28,670520,115,7898,False,28,1,22000.0
29,692971,115,175,False,29,0,23000.0
30,710402,115,100,False,30,1,20000.0
31,732421,115,7859,False,31,0,15000.0
32,1219624,115,57,False,32,1,20000.0
33,1252621,115,7948,False,33,1,20000.0
34,1284094,115,151,False,34,1,22000.0
35,1320874,115,167,False,35,1,19000.0
36,1359412,115,7897,False,36,0,17000.0
37,1415188,115,7882,False,37,1,20000.0
38,1468285,115,7962,False,38,1,17000.0
39,667861680,115,1278,False,39,1,21000.0
40,667971812,115,2065,False,40,1,17000.0
41,667971812,115,2064,False,40,1,17000.0
42,667971812,115,2063,False,40,0,17000.0
43,668090043,115,3363,False,41,0,14333.0
44,668090043,115,3365,False,41,0,14333.0
45,668090043,115,3364,False,41,1,14333.0
46,0,124,7900,False,0,1,
47,32683,124,7876,False,1,0,26000.0
48,62000,124,175,False,2,1,29000.0
49,83632,124,1278,False,3,0,26000.0
50,189483,124,2064,False,4,0,18000.0
51,189483,124,2063,False,4,0,18000.0
52,189483,124,2065,False,4,1,18000.0
53,258793,124,3364,False,5,0,33333.0
54,258793,124,3365,False,5,0,33333.0
55,258793,124,3363,False,5,0,33333.0
56,330528,124,2948,False,6,0,21000.0
57,330528,124,2947,False,6,1,21000.0
58,330528,124,2946,False,6,0,21000.0
59,382790,124,2595,False,7,1,21666.0
60,382790,124,2593,False,7,0,21666.0
61,382790,124,2594,False,7,0,21666.0
62,419266,124,4492,False,8,0,15000.0
63,445527,124,4120,False,9,0,32000.0
64,475421,124,4696,False,10,0,23000.0
65,492328,124,6116,False,11,1,27000.0
66,513206,124,6173,False,12,0,14000.0
67,523644,124,6370,False,13,0,17000.0
68,554504,124,6909,False,14,1,7000.0
69,554504,124,6910,False,14,0,7000.0
70,554504,124,6908,False,14,0,7000.0
71,554504,124,6911,False,14,0,7000.0
72,571323,124,7218,False,15,0,6500.0
73,571323,124,7216,False,15,0,6500.0
74,571323,124,7217,False,15,0,6500.0
75,571323,124,7219,False,15,0,6500.0
76,0,2746,5273,False,0,0,
77,21592,2746,758,False,1,0,28000.0
78,49069,2746,5976,False,2,0,17000.0
79,72254,2746,236,False,3,1,24000.0
80,91945,2746,404,False,4,0,20000.0
81,111621,2746,382,False,5,1,16000.0
82,134341,2746,405,False,6,1,16000.0
83,234605,2746,873,False,7,1,19000.0
84,283894,2746,531,False,8,1,18000.0
85,328640,2746,775,False,9,0,18000.0
86,357471,2746,294,False,10,1,20000.0
87,384415,2746,714,False,11,1,13000.0
88,428637,2746,297,False,12,0,13000.0
89,653762,2746,6808,True,14,-1,
90,674559,2746,297,False,15,1,16000.0
91,704065,2746,775,False,16,0,15000.0
92,735114,2746,1295,False,13,1,16000.0
93,761885,2746,10684,False,17,1,17000.0
94,800255,2746,1014,False,18,0,19000.0
95,835457,2746,484,False,19,1,20000.0
96,0,5382,5000,False,0,1,
97,39828,5382,3944,False,1,0,24000.0
98,132189,5382,217,False,2,1,35000.0
99,153727,5382,5844,False,3,0,88000.0
100,169080,5382,5965,False,4,1,18000.0
101,178049,5382,4990,False,5,1,12000.0
102,274437,5382,5235,False,6,1,5000.0
103,348777,5382,6050,False,7,1,92000.0
104,367177,5382,5721,False,8,0,70000.0
105,451108,5382,5580,False,9,0,14000.0
106,522802,5382,6039,False,10,0,79000.0
107,4561202,5382,7934,False,11,1,66000.0
108,4898313,5382,7945,False,12,0,30000.0
109,5146109,5382,18,False,13,1,27000.0
110,5200935,5382,10626,False,14,1,26000.0
111,5279596,5382,64,False,15,1,22000.0
112,5355233,5382,185,False,16,1,34000.0
113,5412590,5382,7979,False,17,0,23000.0
114,5455459,5382,10612,False,18,1,22000.0
115,5493280,5382,130,False,19,1,22000.0
